Heading,Publisher,Date and Time,Body
"
			Consent in a man’s world		",Mrinal Pande,07 am,"The routines, stratagems, denials and traps in Indian workplaces still make easy mobility and maintaining dignity difficult even for the most talented young female journalists“If you want to know more about femininity, enquire from your own experience of life, or turn to people, or wait until science can give you deeper and more coherent information.” Sigmund Freud ends his essay, ‘On Femininity’, with these lines. They are a somewhat testy but frank acknowledgement of the limitations of even his own vast research on the subject. Today, we could do with some of that humility.In the decades since Freud wrote this, a new world order has risen and mutated. During the 1960s and ’70s, when this writer was living in the US, feminism was all about raising consciousness. That meant various women collectives getting together regularly outside of family circles, and sharing stories about their lives, like members of the Alcoholics Anonymous. At these meetings, after some hesitation, women emerged from being in denial and swapped intimate stories about relationships, work, life goals and sexuality. Tears flowed as they articulated the pain they felt, about the lack of protective nets they needed as young confused girls, the broken trust resulting in deep dilemmas they faced as daughters, wives, mothers. It was through these first-hand narrations that women realised their individual failures were not personal failures but stemmed from their gender being perceived as rooted in sex: Men defined themselves in law and life as aggressive and powerful and women as the receptacles for their sexual urges and producers of their legitimate offspring.Now, digital media has acquired a life of its own and become a public space that allows various marginalised groups to share their hitherto unpublicised insights about the power structures and hierarchies that exclude them but act as their authorised spokespersons. Of course, riding the great tidal wave of an open-ended show-and-tell has both a good and bad side to it. But it is because of this free space that, for the first time in India, working women are able to tell the world what it has actually been like to be at the receiving end of all those sexist jokes, misogyny, porn and rape or near-rape.It is entirely understandable that most of the first stories came from the media. Given the sheer mass of women in media today and their rise to positions of power, it makes sense that women reporters feel comfortable enough to blow the whistle, some after more than a decade, and discuss their harassment with clinical precision — with dates, times and places. Their tales are universal and reveal that the real problem is not that Indian men treat women badly (although they often do), but that at the workplace it remains a male prerogative to decide who to treat badly, how and how often, and what should be a suitable “punishment” for those who deny them sexual favours.The late Justice Leila Seth, who was on the committee that gave us the revised law against sexual harassment and rape, has observed in her book Talking of Justice: People’s Rights in Modern India: “The approach generally taken with gender equality is that women are different from men because they are weaker and more subordinate and consequently need protection… the protectionist approach actually reinforces the difference and perpetuates it.” The tales of sexual harassment — as they unfurl and multiply — prove her words. They reveal how in a work environment dominated by an extremely powerful near-tyrannical boss, the supposed power of a young female trainee to say “no” is actually the obfuscation of her actual lack of power to stop him without losing both her job and her reputation and maybe the possibility of getting another job. The routines, stratagems, denials and traps in Indian workplaces, laid bare by the young women’s testimonies before us, are what still makes easy mobility and maintaining their dignity well-nigh impossible even for the most talented young female journalists.Men in India, when they challenge a woman’s rape charge in court, will try to feed the still-pervasive belief that women fabricate rape charges after consenting to sex. According to them, women distort the experience. Men seldom consider the reality of sex as anything beyond their own experience of it. But as many stories that have surfaced of late reveal, in the mind of male sexual predators, sex actually represents and enforces the ultimate subordination of women to men. No wonder, then, they claim they thought her resistance or disinclination was a deliberate spur to more ardent love-making.Surely, in some cases, there may be incentives to lie. But the deeper problem is the frequent legal assumption that a single objective state of affairs existed. And it must be determined by evidence. Lawyers representing the perpetrator thus often go on to divide women into spheres of consent, according to the indices of their relationship to men. From the extent to which the perpetrator knows the victim and they have had sex, her consent is inferred. The inference is: Our client does not rape women he does not know. And if he knows them and has consensual sex with them, how can he be held guilty? Men will mostly define rape in terms, where force and sexual desire are a total package. Here, the law’s problem becomes distinguishing rape from acts misconstrued by the victim as “mere sexual violation” in specific cases. Is it any wonder, then, that most raped women feel that the revised law against rape under such circumstances remains virtually unenforceable as applied to them?Law is a society’s text, its rational soul. Our courts have recently introduced commendable changes by amending some laws and de-recognising a few colonial ones. Should they now really wish to reflect upon the issue of the sexual exploitation of women, they must acknowledge how much the legitimacy of much of our laws has been derived by force and at women’s expense."
"
			Consent in a man’s world		",Mrinal Pande,07 am,"The routines, stratagems, denials and traps in Indian workplaces still make easy mobility and maintaining dignity difficult even for the most talented young female journalists“If you want to know more about femininity, enquire from your own experience of life, or turn to people, or wait until science can give you deeper and more coherent information.” Sigmund Freud ends his essay, ‘On Femininity’, with these lines. They are a somewhat testy but frank acknowledgement of the limitations of even his own vast research on the subject. Today, we could do with some of that humility.In the decades since Freud wrote this, a new world order has risen and mutated. During the 1960s and ’70s, when this writer was living in the US, feminism was all about raising consciousness. That meant various women collectives getting together regularly outside of family circles, and sharing stories about their lives, like members of the Alcoholics Anonymous. At these meetings, after some hesitation, women emerged from being in denial and swapped intimate stories about relationships, work, life goals and sexuality. Tears flowed as they articulated the pain they felt, about the lack of protective nets they needed as young confused girls, the broken trust resulting in deep dilemmas they faced as daughters, wives, mothers. It was through these first-hand narrations that women realised their individual failures were not personal failures but stemmed from their gender being perceived as rooted in sex: Men defined themselves in law and life as aggressive and powerful and women as the receptacles for their sexual urges and producers of their legitimate offspring.Now, digital media has acquired a life of its own and become a public space that allows various marginalised groups to share their hitherto unpublicised insights about the power structures and hierarchies that exclude them but act as their authorised spokespersons. Of course, riding the great tidal wave of an open-ended show-and-tell has both a good and bad side to it. But it is because of this free space that, for the first time in India, working women are able to tell the world what it has actually been like to be at the receiving end of all those sexist jokes, misogyny, porn and rape or near-rape.It is entirely understandable that most of the first stories came from the media. Given the sheer mass of women in media today and their rise to positions of power, it makes sense that women reporters feel comfortable enough to blow the whistle, some after more than a decade, and discuss their harassment with clinical precision — with dates, times and places. Their tales are universal and reveal that the real problem is not that Indian men treat women badly (although they often do), but that at the workplace it remains a male prerogative to decide who to treat badly, how and how often, and what should be a suitable “punishment” for those who deny them sexual favours.The late Justice Leila Seth, who was on the committee that gave us the revised law against sexual harassment and rape, has observed in her book Talking of Justice: People’s Rights in Modern India: “The approach generally taken with gender equality is that women are different from men because they are weaker and more subordinate and consequently need protection… the protectionist approach actually reinforces the difference and perpetuates it.” The tales of sexual harassment — as they unfurl and multiply — prove her words. They reveal how in a work environment dominated by an extremely powerful near-tyrannical boss, the supposed power of a young female trainee to say “no” is actually the obfuscation of her actual lack of power to stop him without losing both her job and her reputation and maybe the possibility of getting another job. The routines, stratagems, denials and traps in Indian workplaces, laid bare by the young women’s testimonies before us, are what still makes easy mobility and maintaining their dignity well-nigh impossible even for the most talented young female journalists.Men in India, when they challenge a woman’s rape charge in court, will try to feed the still-pervasive belief that women fabricate rape charges after consenting to sex. According to them, women distort the experience. Men seldom consider the reality of sex as anything beyond their own experience of it. But as many stories that have surfaced of late reveal, in the mind of male sexual predators, sex actually represents and enforces the ultimate subordination of women to men. No wonder, then, they claim they thought her resistance or disinclination was a deliberate spur to more ardent love-making.Surely, in some cases, there may be incentives to lie. But the deeper problem is the frequent legal assumption that a single objective state of affairs existed. And it must be determined by evidence. Lawyers representing the perpetrator thus often go on to divide women into spheres of consent, according to the indices of their relationship to men. From the extent to which the perpetrator knows the victim and they have had sex, her consent is inferred. The inference is: Our client does not rape women he does not know. And if he knows them and has consensual sex with them, how can he be held guilty? Men will mostly define rape in terms, where force and sexual desire are a total package. Here, the law’s problem becomes distinguishing rape from acts misconstrued by the victim as “mere sexual violation” in specific cases. Is it any wonder, then, that most raped women feel that the revised law against rape under such circumstances remains virtually unenforceable as applied to them?Law is a society’s text, its rational soul. Our courts have recently introduced commendable changes by amending some laws and de-recognising a few colonial ones. Should they now really wish to reflect upon the issue of the sexual exploitation of women, they must acknowledge how much the legitimacy of much of our laws has been derived by force and at women’s expense."
"
			In Iran, illegally brewed alcohol has killed 42, blinded dozens, landed hundreds in hospital		",New York Times,New York Times,"It was not clear what was in the concoctions. In the past, authorities have blamed high levels of methanol — a simple alcohol used as an antifreeze and for biofuels — for contaminating drinks.Poisonous batches of bootleg alcohol have killed at least 42 people, blinded more than a dozen others and sent hundreds to the hospital across Iran in recent weeks, the country’s Health Ministry said.The police are said to have raided at least one underground distillery and arrested dozens of people in connection with the tainted drinks. The youngest victim was a 19-year-old woman, the BBC reported.It was not clear what was in the concoctions. In the past, authorities have blamed high levels of methanol — a simple alcohol used as an antifreeze and for biofuels — for contaminating drinks.The deaths come several years into a government effort to begin acknowledging Iran’s drinking problem and to provide treatment for addiction. Taboo for devout Muslims, alcohol has been illegal in Iran since the 1979 revolution, and those caught consuming it can be punished with a lashing.But smuggled and homemade liquor is widely available, with alcohol suppliers making deliveries to people’s doorsteps.Dozens of people die from alcohol poisoning every year in Iran, but the death toll in recent weeks was unusually high. The poisonings spread from provinces in northeastern Iran and near Tehran to the southern coast.A steep drop in the value of Iran’s currency since the United States withdrew from the nuclear deal has driven up the price of imported items. That may be making it more difficult for Iranians to purchase smuggled foreign alcohol, which could in turn be steering them to homemade liquor.Iran’s drinking culture was pushed into the shadows for many years by a government peddling the official line that no one drank. But reality eventually intruded, making plain that Iran, like many other nations, has an alcohol problem. Official statistics show that at least 10 percent of the population uses alcohol.Now dozens of private clinics and government institutions have opened help desks and special wards for alcoholics. The government has allowed a large and growing network of Alcoholics Anonymous groups, modeled after those in the United States. And the government has tried to combat drunken driving by giving officers breathalyzers and running public campaigns about the dangers.In the last three weeks, at least 16 people went blind and 170 others were forced to undergo dialysis after drinking the bootleg alcohol, the government said. In all, 460 people were hospitalized."
"
			In Iran, illegally brewed alcohol has killed 42, blinded dozens, landed hundreds in hospital		",New York Times,New York Times,"It was not clear what was in the concoctions. In the past, authorities have blamed high levels of methanol — a simple alcohol used as an antifreeze and for biofuels — for contaminating drinks.Poisonous batches of bootleg alcohol have killed at least 42 people, blinded more than a dozen others and sent hundreds to the hospital across Iran in recent weeks, the country’s Health Ministry said.The police are said to have raided at least one underground distillery and arrested dozens of people in connection with the tainted drinks. The youngest victim was a 19-year-old woman, the BBC reported.It was not clear what was in the concoctions. In the past, authorities have blamed high levels of methanol — a simple alcohol used as an antifreeze and for biofuels — for contaminating drinks.The deaths come several years into a government effort to begin acknowledging Iran’s drinking problem and to provide treatment for addiction. Taboo for devout Muslims, alcohol has been illegal in Iran since the 1979 revolution, and those caught consuming it can be punished with a lashing.But smuggled and homemade liquor is widely available, with alcohol suppliers making deliveries to people’s doorsteps.Dozens of people die from alcohol poisoning every year in Iran, but the death toll in recent weeks was unusually high. The poisonings spread from provinces in northeastern Iran and near Tehran to the southern coast.A steep drop in the value of Iran’s currency since the United States withdrew from the nuclear deal has driven up the price of imported items. That may be making it more difficult for Iranians to purchase smuggled foreign alcohol, which could in turn be steering them to homemade liquor.Iran’s drinking culture was pushed into the shadows for many years by a government peddling the official line that no one drank. But reality eventually intruded, making plain that Iran, like many other nations, has an alcohol problem. Official statistics show that at least 10 percent of the population uses alcohol.Now dozens of private clinics and government institutions have opened help desks and special wards for alcoholics. The government has allowed a large and growing network of Alcoholics Anonymous groups, modeled after those in the United States. And the government has tried to combat drunken driving by giving officers breathalyzers and running public campaigns about the dangers.In the last three weeks, at least 16 people went blind and 170 others were forced to undergo dialysis after drinking the bootleg alcohol, the government said. In all, 460 people were hospitalized."
"
			Delhi HC pulls up IAF for confining officer to psychiatric ward		",Express News Service,Express News Service,"The bench said the newly-enacted Mental Healthcare Act made it clear that a person could not be forced to undergo treatment without his consent.The Delhi High Court Thursday pulled up the Indian Air Force (IAF) for confining one of its non-commissioned officers, a corporal, to a psychiatric ward for over two months, over claims of him being an alcoholic and suffering from mental disorders. Terming the act of the IAF “irresponsible”, a bench of Justice S Muralidhar and Justice Vinod Goel questioned the rationale behind the IAF’s decision, asking how it determined on a daily basis that the corporal still “craved for alcohol”.“How were you determining on a daily basis that his craving for alcohol had not gone down? What tests were conducted by you? This is completely irresponsible. We wonder how many such cases are there,” said the bench.The court’s observations were made while hearing a habeas corpus petition filed by the 30-year-old corporal’s father, claiming that his son was being illegally confined at the Army Base Hospital. Central government standing counsel Ripudaman Bhardwaj, appearing for the IAF, contended that action against the corporal was taken on a complaint from his wife that he turned violent after consuming alcohol.He also submitted that the corporal, Kriyad Yogesh Bhankhariya, had alcohol dependency issues for which he was initially treated in the psychiatric ward of the Army Base Hospital, and thereafter, in June, was shifted to the medical centre at the Tughlakabad Air Force Station.The bench, however, said that the IAF needed to be reminded not to interfere with a person’s liberty as “short of chaining him up, everything else was done here”. It directed that the corporal be produced in court Friday. It also said the newly-enacted Mental Healthcare Act made it clear that a person could not be forced to undergo treatment without his consent. “The IAF cannot ignore the laws of the country,” the bench remarked.“This is a clear case where a man is saying he has been detained without consent. Under the new Mental Healthcare Act, you cannot force him to undergo treatment without his consent. Then how are you pumping him full of drugs? We do not know who should be proceeded against,” added the bench. It said if the non-commissioned officer (NCO) was an alcoholic, then the IAF ought to have sought the help of “Alcoholics Anonymous” on how to deal with the matter as any psychiatric would confirm that confinement of a person was advisable only in extreme cases."
"
			Delhi HC pulls up IAF for confining officer to psychiatric ward		",Express News Service,Express News Service,"The bench said the newly-enacted Mental Healthcare Act made it clear that a person could not be forced to undergo treatment without his consent.The Delhi High Court Thursday pulled up the Indian Air Force (IAF) for confining one of its non-commissioned officers, a corporal, to a psychiatric ward for over two months, over claims of him being an alcoholic and suffering from mental disorders. Terming the act of the IAF “irresponsible”, a bench of Justice S Muralidhar and Justice Vinod Goel questioned the rationale behind the IAF’s decision, asking how it determined on a daily basis that the corporal still “craved for alcohol”.“How were you determining on a daily basis that his craving for alcohol had not gone down? What tests were conducted by you? This is completely irresponsible. We wonder how many such cases are there,” said the bench.The court’s observations were made while hearing a habeas corpus petition filed by the 30-year-old corporal’s father, claiming that his son was being illegally confined at the Army Base Hospital. Central government standing counsel Ripudaman Bhardwaj, appearing for the IAF, contended that action against the corporal was taken on a complaint from his wife that he turned violent after consuming alcohol.He also submitted that the corporal, Kriyad Yogesh Bhankhariya, had alcohol dependency issues for which he was initially treated in the psychiatric ward of the Army Base Hospital, and thereafter, in June, was shifted to the medical centre at the Tughlakabad Air Force Station.The bench, however, said that the IAF needed to be reminded not to interfere with a person’s liberty as “short of chaining him up, everything else was done here”. It directed that the corporal be produced in court Friday. It also said the newly-enacted Mental Healthcare Act made it clear that a person could not be forced to undergo treatment without his consent. “The IAF cannot ignore the laws of the country,” the bench remarked.“This is a clear case where a man is saying he has been detained without consent. Under the new Mental Healthcare Act, you cannot force him to undergo treatment without his consent. Then how are you pumping him full of drugs? We do not know who should be proceeded against,” added the bench. It said if the non-commissioned officer (NCO) was an alcoholic, then the IAF ought to have sought the help of “Alcoholics Anonymous” on how to deal with the matter as any psychiatric would confirm that confinement of a person was advisable only in extreme cases."
"
			Mission Impossible actor Simon Pegg calls his struggle with alcohol ‘awful’		",PTI,PTI,"Mission Impossible actor Simon Pegg said when he returned to the UK, his home, he went into rehab which helped him turn his life around.Actor Simon Pegg has opened up about his struggle with depression and alcoholism, saying that he checked into a rehabilitation centre to seek recovery. The 48-year-old actor said while he was shooting Mission: Impossible III in 2006, he was “fairly lost, and unhappy, and an alcoholic”.“It was awful, terrible,” he told The Guardian while talking about his struggle. “It owned me.”Pegg said his depression did not allow him to enjoy the experience of working with the likes of Tom Cruise on the Mission: Impossible films and J.J. Abrams on the Star Trek reboot.“I would feel like — I’m in a film with Tom Cruise, I’ve got the part of Scotty in Star Trek”, he told the publication. “This should be making me feel happy. But it wasn’t.”“When I watch that film back, I can see where I was then, which was fairly lost, and unhappy, and an alcoholic,” Pegg added.The actor said he “micro-managed” his condition for quite some time, till the ball dropped.“One thing (addiction) does is make you clever at not giving anything away. People think junkies and alcoholics are slovenly, unmotivated people. They’re not – they are incredibly organised. They can nip out for a quick shot of whisky and you wouldn’t know they have gone. It’s as if … you are micro-managed by it,” Pegg said.“But eventually the signs are too obvious. You have taken the dog for one too many walks,” he added.Pegg revealed that while he was on a trip to Comic-Con to promote his 2011 movie Paul, he went missing for four days.The actor said when he returned to the UK, his home, he went into rehab which helped him turn his life around.“I got into it. I got into the reasons I was feeling that way. I went into AA (Alcoholics Anonymous) for a while, too. I don’t think I would be here now if I hadn’t had help,” he said."
"
			Mission Impossible actor Simon Pegg calls his struggle with alcohol ‘awful’		",PTI,PTI,"Mission Impossible actor Simon Pegg said when he returned to the UK, his home, he went into rehab which helped him turn his life around.Actor Simon Pegg has opened up about his struggle with depression and alcoholism, saying that he checked into a rehabilitation centre to seek recovery. The 48-year-old actor said while he was shooting Mission: Impossible III in 2006, he was “fairly lost, and unhappy, and an alcoholic”.“It was awful, terrible,” he told The Guardian while talking about his struggle. “It owned me.”Pegg said his depression did not allow him to enjoy the experience of working with the likes of Tom Cruise on the Mission: Impossible films and J.J. Abrams on the Star Trek reboot.“I would feel like — I’m in a film with Tom Cruise, I’ve got the part of Scotty in Star Trek”, he told the publication. “This should be making me feel happy. But it wasn’t.”“When I watch that film back, I can see where I was then, which was fairly lost, and unhappy, and an alcoholic,” Pegg added.The actor said he “micro-managed” his condition for quite some time, till the ball dropped.“One thing (addiction) does is make you clever at not giving anything away. People think junkies and alcoholics are slovenly, unmotivated people. They’re not – they are incredibly organised. They can nip out for a quick shot of whisky and you wouldn’t know they have gone. It’s as if … you are micro-managed by it,” Pegg said.“But eventually the signs are too obvious. You have taken the dog for one too many walks,” he added.Pegg revealed that while he was on a trip to Comic-Con to promote his 2011 movie Paul, he went missing for four days.The actor said when he returned to the UK, his home, he went into rehab which helped him turn his life around.“I got into it. I got into the reasons I was feeling that way. I went into AA (Alcoholics Anonymous) for a while, too. I don’t think I would be here now if I hadn’t had help,” he said."
"
			To contain suicides, BSF plans annual mental health tests		",Deeptiman Tiwary,New Delhi | ,"Based on how they fare in the test, soldiers will be assigned duties and corrective measures taken. Until now only annual physical tests were held to see if soldiers were fit to discharge their duties.TRYING to contain suicides among paramilitary forces, the BSF has made it mandatory for all its personnel to undergo an annual test to determine their mental health. Based on how they fare in the test, soldiers will be assigned duties and corrective measures taken. Until now only annual physical tests were held to see if soldiers were fit to discharge their duties.The BSF has also come up with a broad set of guidelines on ensuring recreational time for soldiers, holding periodic meetings on the pattern of Alcoholics Anonymous where they can share personal stories, mandatory interviews for all those returning from leave, and an informal mechanism to address grievances.The steps follow year-long research, where the force studied the pattern of suicides by its personnel and analysed the reasons for the same. Two hundred BSF medics were then trained in clinical psychology in consultation with psychiatrists from London to conduct the tests to determine mental health of jawans. The programme is being called ‘Holistic Well-Being Intervention’ so as to avoid stigma related to mental illness. Read | Death of a jawanOfficials said their research showed that suicides were higher among personnel from poor socio-economic background, and mostly among the 25-35 age group. However, there was not much difference in suicide rates when it came to the marital status of personnel or whether they belonged to nuclear or joint families.“Poor motivation, alcohol dependency, sleep disorders, problems with spouse or other relatives at home, unfavourable working conditions, financial issues, anger and helplessness” were identified as factors leading to stress and depression and eventually suicides.Inspector General Satwant Atwal Trivedi, who has been a student of clinical psychology and oversaw the project, said, “Suicides anywhere are tragic, but when a trained soldier commits it, it’s loss of a national asset. We want to do our best and provide the best possible environment and care to ensure our soldiers do not take the extreme step. Until now, the healthcare routine in the forces was not too focused on mental well-being. We believe if problems are recognised early and taken care of, tragedies can be averted.”BSF sources said the suicide research was an eye-opener in how many myths it broke. “It has often been argued that marital discords lead to suicides, but data shows that the share of single men and married individuals was equal. Nuclear families are also blamed often, but the research revealed that 51 per cent of the victims were from nuclear families and 49 per cent from joint,” an officer said.About their findings regarding the age of the suicide victims, and their financial background, a psychologist associated with the programme said, “Our understanding is that the magnitude of our struggles with finances, family issues or work-related stress is higher when one is young. With the passage of time, one learns to adjust with one’s situation. It is in this period that these vulnerable individuals need to be spotted and taken care of.”As part of the research, officials took up case studies, such as going through the diary of a soldier who had committed suicide. While by all accounts, he was appreciated at his job, and had no family issues or responsibilities, an official said the diary showed otherwise. “We found he was terribly lonely. He came from a broken family and was raised by his maternal uncle who gave him a lot of love, but his uncle’s wife was not that affectionate. He had written that he was very happy when his sister got married into a good family, but that he now felt alone. He also felt he was not made for the job, but recognised that he wouldn’t get a better job.”In the case of a cook on sentry duty, the research showed that he was uncomfortable carrying a gun, and the stress led him to kill himself.“These are cases where the signs are so subtle that a company commander would never spot it unless trained in clinical psychology. That is why the quetionnaire we have prepared has some very simple questions such as ‘How are you feeling today’, ‘Are you sleeping well these days’, to gauge whether a person is leading a normal life or not,” a psychologist said.Field units will soon be issued booklets containing the string of guidelines to help destress soldiers, including group games, and good diet and proper healthcare. Among the additions is asking commanders to ensure their “troops get time for recreation and that facilities (games, TV, movies and books) are available”. Commanders are also being asked to ensure that grievances are addressed by them informally as the formal channel takes too long and frustrates the personnel.Units are being asked to create mutual-aid fellowship groups and organise sessions — called ‘Ghar Ki Baat’ — where personnel will talk about their problems and experiences."
"
			To contain suicides, BSF plans annual mental health tests		",Deeptiman Tiwary,New Delhi | ,"Based on how they fare in the test, soldiers will be assigned duties and corrective measures taken. Until now only annual physical tests were held to see if soldiers were fit to discharge their duties.TRYING to contain suicides among paramilitary forces, the BSF has made it mandatory for all its personnel to undergo an annual test to determine their mental health. Based on how they fare in the test, soldiers will be assigned duties and corrective measures taken. Until now only annual physical tests were held to see if soldiers were fit to discharge their duties.The BSF has also come up with a broad set of guidelines on ensuring recreational time for soldiers, holding periodic meetings on the pattern of Alcoholics Anonymous where they can share personal stories, mandatory interviews for all those returning from leave, and an informal mechanism to address grievances.The steps follow year-long research, where the force studied the pattern of suicides by its personnel and analysed the reasons for the same. Two hundred BSF medics were then trained in clinical psychology in consultation with psychiatrists from London to conduct the tests to determine mental health of jawans. The programme is being called ‘Holistic Well-Being Intervention’ so as to avoid stigma related to mental illness. Read | Death of a jawanOfficials said their research showed that suicides were higher among personnel from poor socio-economic background, and mostly among the 25-35 age group. However, there was not much difference in suicide rates when it came to the marital status of personnel or whether they belonged to nuclear or joint families.“Poor motivation, alcohol dependency, sleep disorders, problems with spouse or other relatives at home, unfavourable working conditions, financial issues, anger and helplessness” were identified as factors leading to stress and depression and eventually suicides.Inspector General Satwant Atwal Trivedi, who has been a student of clinical psychology and oversaw the project, said, “Suicides anywhere are tragic, but when a trained soldier commits it, it’s loss of a national asset. We want to do our best and provide the best possible environment and care to ensure our soldiers do not take the extreme step. Until now, the healthcare routine in the forces was not too focused on mental well-being. We believe if problems are recognised early and taken care of, tragedies can be averted.”BSF sources said the suicide research was an eye-opener in how many myths it broke. “It has often been argued that marital discords lead to suicides, but data shows that the share of single men and married individuals was equal. Nuclear families are also blamed often, but the research revealed that 51 per cent of the victims were from nuclear families and 49 per cent from joint,” an officer said.About their findings regarding the age of the suicide victims, and their financial background, a psychologist associated with the programme said, “Our understanding is that the magnitude of our struggles with finances, family issues or work-related stress is higher when one is young. With the passage of time, one learns to adjust with one’s situation. It is in this period that these vulnerable individuals need to be spotted and taken care of.”As part of the research, officials took up case studies, such as going through the diary of a soldier who had committed suicide. While by all accounts, he was appreciated at his job, and had no family issues or responsibilities, an official said the diary showed otherwise. “We found he was terribly lonely. He came from a broken family and was raised by his maternal uncle who gave him a lot of love, but his uncle’s wife was not that affectionate. He had written that he was very happy when his sister got married into a good family, but that he now felt alone. He also felt he was not made for the job, but recognised that he wouldn’t get a better job.”In the case of a cook on sentry duty, the research showed that he was uncomfortable carrying a gun, and the stress led him to kill himself.“These are cases where the signs are so subtle that a company commander would never spot it unless trained in clinical psychology. That is why the quetionnaire we have prepared has some very simple questions such as ‘How are you feeling today’, ‘Are you sleeping well these days’, to gauge whether a person is leading a normal life or not,” a psychologist said.Field units will soon be issued booklets containing the string of guidelines to help destress soldiers, including group games, and good diet and proper healthcare. Among the additions is asking commanders to ensure their “troops get time for recreation and that facilities (games, TV, movies and books) are available”. Commanders are also being asked to ensure that grievances are addressed by them informally as the formal channel takes too long and frustrates the personnel.Units are being asked to create mutual-aid fellowship groups and organise sessions — called ‘Ghar Ki Baat’ — where personnel will talk about their problems and experiences."
