,Headline,Day,Date,Timings
0,"Engagements for Sunday, March 31",Sunday,2019-03-31,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
1,Chennai Today,Saturday,2019-03-30,['7 p.m.']
2,Madurai Today,Saturday,2019-03-30,['7 p.m.']
3,engagements,Saturday,2019-03-30,"['7 p.m.', '5 p.m.', '10.30 a.m.', '5 p.m.', '10 a.m.']"
4,CHENNAI TODAY,Friday,2019-03-29,['7 p.m.']
5,engagements,Friday,2019-03-29,"['4 p.m.', '7 p.m.', '10 a.m.']"
6,"Madurai Today-March 29, 2019",Friday,2019-03-29,['7 p.m.']
7,"Madurai Today-March 29, 2019",Thursday,2019-03-28,['7 p.m.']
8,CHENNAI TODAY,Thursday,2019-03-28,['7 p.m.']
9,engagements,Thursday,2019-03-28,"['10 a.m.', '10.30 a.m.', '7 p.m.', '10.30 a.m.']"
10,"Engagements for Wednesday, March 27",Wednesday,2019-03-27,['7 p.m.']
11,Madurai Today,Wednesday,2019-03-27,"['6.30 p.m.', '7 p.m.']"
12,"Engagements for Sunday, March 31",Sunday,2019-03-31,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
13,Chennai Today,Saturday,2019-03-30,['7 p.m.']
14,Madurai Today,Saturday,2019-03-30,['7 p.m.']
15,engagements,Saturday,2019-03-30,"['7 p.m.', '5 p.m.', '10.30 a.m.', '5 p.m.', '10 a.m.']"
16,CHENNAI TODAY,Friday,2019-03-29,['7 p.m.']
17,"Madurai Today-March 29, 2019",Friday,2019-03-29,['7 p.m.']
18,engagements,Friday,2019-03-29,"['4 p.m.', '7 p.m.', '10 a.m.']"
19,"Madurai Today-March 29, 2019",Thursday,2019-03-28,['7 p.m.']
20,CHENNAI TODAY,Thursday,2019-03-28,['7 p.m.']
21,engagements,Thursday,2019-03-28,"['10 a.m.', '10.30 a.m.', '7 p.m.', '10.30 a.m.']"
22,"Engagements for Wednesday, March 27",Wednesday,2019-03-27,['7 p.m.']
23,Madurai Today,Wednesday,2019-03-27,"['6.30 p.m.', '7 p.m.']"
24,CHENNAI TODAY,Tuesday,2019-03-26,['7 p.m.']
25,Madurai Today for March 26 Tuesday,Tuesday,2019-03-26,['7 p.m.']
26,engagements,Tuesday,2019-03-26,"['10 a.m.', '11.15 a.m.', '5 p.m.', '6.30 p.m.', '7 p.m.']"
27,Madurai Today for March 26 Tuesday,Monday,2019-03-25,['7 p.m.']
28,"Engagements for Monday, March 25",Monday,2019-03-25,"['6.30 p.m.', '7 p.m.']"
29,Madurai Today,Monday,2019-03-25,"['7 a.m.', '7 p.m.']"
30,"Engagements for March 24, Sunday",Sunday,2019-03-24,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
31,Madurai Today,Sunday,2019-03-24,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
32,"Engagements for Saturday, March 23",Saturday,2019-03-23,['7 p.m.']
33,Madurai Today,Saturday,2019-03-23,['7 p.m.']
34,Engagements -Tirunelveli Region,Saturday,2019-03-23,"['9.30 a.m.', '10 a.m.', '10 a.m.', '4 p.m.']"
35,Engagements -Tirunelveli Region,Friday,2019-03-22,"['9.30 a.m.', '10 a.m.', '10 a.m.']"
36,"Engagements for Friday, March 22",Friday,2019-03-22,['7 p.m.']
37,Madurai Today - March 22,Friday,2019-03-22,['7 p.m.']
38,Madurai Today - March 22,Thursday,2019-03-21,['7 p.m.']
39,Madurai Today,Thursday,2019-03-21,['7 p.m.']
40,Engagements - Tirunelveli region - March 21,Thursday,2019-03-21,"['7 p.m.', '5.30 p.m.']"
41,CHENNAI TODAY,Wednesday,2019-03-20,['7 p.m.']
42,Engagements - Tirunelveli region - March 21,Wednesday,2019-03-20,"['7 p.m.', '5.30 p.m.']"
43,Madurai Today,Wednesday,2019-03-20,"['6.30 p.m.', '7 p.m.']"
44,CHENNAI TODAY,Tuesday,2019-03-19,['7 p.m.']
45,Madurai Today,Tuesday,2019-03-19,"['6.30 p.m.', '7 p.m.']"
46,Madurai Today,Monday,2019-03-18,"['6.30 p.m.', '7 p.m.']"
47,Chennai Today,Monday,2019-03-18,"['6.30 p.m.', '7 p.m.']"
48,Madurai Today - March 18,Monday,2019-03-18,"['7 a.m.', '7 p.m.']"
49,CHENNAI TODAY - The Hindu,Sunday,2019-03-17,"['10.00 a.m.', '11 a.m.', '11.30 a.m.', '6 p.m.', '7 pm.']"
50,Madurai today for Mar 17 Sunday,Sunday,2019-03-17,"['11 a.m.', '7 p.m.']"
51,Engagements,Sunday,2019-03-17,['7 p.m.']
52,Chennai Today,Saturday,2019-03-16,['7 p.m.']
53,Madurai Today,Saturday,2019-03-16,['7 p.m.']
54,Engagaments for Friday,Friday,2019-03-15,['7 p.m.']
55,Madurai Today,Thursday,2019-03-14,['7 p.m.']
56,Chennai Today,Wednesday,2019-03-13,"['11 a.m.', '6.30 p.m.', '6.45 p.m.', '6 p.m.', '10.30 a.m.', '10.30 a.m.', '5 p.m.', '4 p.m.', '6 p.m.', '9.30 a.m.', '10 a.m.', '7 p.m.', '7 p.m.', '7 p.m.']"
57,Madurai today for Mar 13 Wednesday,Wednesday,2019-03-13,['7 p.m.']
58,engagements,Wednesday,2019-03-13,"['9.30 a.m.', '4.15 p.m.', '5.30 p.m.', '4.30 p.m.', '7 p.m.', '11 a.m.']"
59,Madurai Today,Tuesday,2019-03-12,"['6.30 p.m.', '7 p.m.']"
60,10MARDHR01 CHENNAI TODAY,Monday,2019-03-11,"['6.30 p.m.', '7 p.m.']"
61,Madurai Today for March 11,Monday,2019-03-11,"['7 a.m.', '7 p.m.', '7 p.m.']"
62,Madurai Today for March 11,Sunday,2019-03-10,"['7 a.m.', '7 p.m.', '7 p.m.']"
63,Madurai Today,Sunday,2019-03-10,"['11 a.m.', '6.30 p.m.', '7 p.m.']"
64,CHENNAI TODAY,Saturday,2019-03-09,['7 p.m.']
65,Madurai Today,Saturday,2019-03-09,['7 p.m.']
66,engagements,Saturday,2019-03-09,"['4.30 p.m.', '7 p.m.', '10 a.m.', '5.30 p.m.', '2.30 p.m.']"
67,"Engagements for Friday, March 8",Friday,2019-03-08,['7 p.m.']
68,Madurai Today,Friday,2019-03-08,"['6.30 p.m.', '7 p.m.']"
69,engagements,Friday,2019-03-08,"['2.30 p.m.', '11 a.m.', '7 p.m.', '10 a.m.', '10 a.m.', '8 a.m.', '10 a.m.', '5.30 p.m.']"
70,Chennai today,Thursday,2019-03-07,['7 p.m.']
71,Madurai Today,Thursday,2019-03-07,['7 p.m.']
72,engagements,Thursday,2019-03-07,"['7 p.m.', '10 a.m.']"
73,Madurai Today,Wednesday,2019-03-06,"['6.30 p.m.', '7 p.m.']"
74,engagements,Wednesday,2019-03-06,"['10.30 a.m.', '7 p.m.']"
75,Madurai today,Tuesday,2019-03-05,"['6.30 p.m.', '7 p.m.']"
76,engagements,Tuesday,2019-03-05,"['7 p.m.', '11 a.m.']"
77,Chennai Today,Monday,2019-03-04,"['6.30 p.m.', '7 p.m.']"
78,Madurai Today,Monday,2019-03-04,"['7 a.m.', '7 p.m.']"
79,Engagements,Sunday,2019-03-03,['7 p.m.']
