Heading,Publisher,Date,Body
Hard-partying star off drink - Lindsay Lohan Joins Alcoholics Anonymous, By The Telegraph Online in Lohan  ,  3/12/2006 ,"Los Angeles, Dec. 2 (Reuters): Actress Lindsay Lohan, who has been a frequent target of the tabloids for her partying ways, has begun attending Alcoholics Anonymous meetings, her publicist said yesterday.“It’s positive and she hopes the press leaves her alone,” publicist Leslie Sloane-Zelnik said of the 20-year-old star, whose penchant for parties and nightclubs have made her the focus of tabloid stories portraying the auburn-haired actress as out of control.In July, a producer of the film Georgia Rule blamed Lohan’s “hard partying” for a series of late arrivals and absences from the set that her spokeswoman said was due to illness. In a 2005 article in Vanity Fair, Lohan admitted to having an eating disorder, but later denied her statements. "
Centre helps addicts tide over bottle blues - Alcoholics Anonymous celebrates one year of success in steel city, By ANTARA BOSE ,  21/08/2013 ,"A peg every day keeps the doctor away, so goes the saying. But for many, these pegs too many often end up ruining their lives just like it happened in the case of 57-year-old Sayantan Das (named changed), who binged daily on beer. However, Das is reformed now, having turned from a social outcast to a successful family man, thanks to Alcoholics Anonymous’s year-long efforts.The centre, which functions from Loyola School premises in Jamshedpur, is a wing of the international organisation found in 1935. It completed a year on Tuesday and hosted a small get-together on the cradle premises to spread the message of life. “I started drinking with friends when work took me to Bhilai for two years. I got so hooked to alcohol that my business suffered. Somehow, I went to Calcutta and joined Calcutta Samaritans and quit the drinking habit. However, once I visited Vishakhapatnam, I again started having beer because of the humid weather. The addiction soon grew out of control. After four years, I turned to Alcoholics Anonymous that helped me overcome the habit,” Das smiled, adding that it had been a year since he left drinking.Till date, Alcoholics Anonymous has been able to help 10 addicts stop drinking and lead a happy life. Like them, 25 more are in the process of kick the habit and are attending counselling sessions. The sessions are held every Tuesday and Saturday. As of now, the centre conducts a story-sharing session, where people are motivated to lead a happy social life with self-control. It also helps the reformed people get engaged with NGOs.“People feel that they can get out of their misery once they are down two pegs. But, instead they should concentrate on meditation that helps the mind settle down. We try to make them comfortable here and talk about the better and beautiful things in life. After all, it is a disease,” said Jaya Moitra, a counsellor at Alcoholics Anonymous.She also thanked actor Aamir Khan. “I always wanted to do something like this, but had no clue how to go about it. I called up the helpline number that flashed during Satyamev Jayate and it was Aamir Khan who gave me the contacts so that I could start this centre.” "
Kids learn to peg away at parents?alcoholism - Organisation affiliated to Alcoholics Anonymous encourages children to help addicts kick the habit, By Staff Reporter in Guwahati  ,  11/08/2005 ,"Guwahati, Aug. 11: At an age when most children face no bigger crisis in life than having to drink the large glass of milk that their mothers thrust on them everyday, five-year-old Rakesh Baruah is having to deal with a father who drinks too much alcohol for his family?s good.Last week, Rakesh (named changed) and seven other students of different schools in Guwahati came together to form a group called Alateen, affiliated to Alcoholics Anonymous, in a bid to learn how to wean their parents away from alcohol dependence.On Sundays and other holidays, the group will meet to share their experiences and learn how to overcome the trauma of living with alcoholic parents. ?We are all from the same background and with similar problems. I hope we will be able to help each other out,? Rakesh said with the maturity of a much older child.His friend Alakesh echoed him. ?We are just making a beginning. Hopefully, we will be able to change the way our parents lead their lives, and for the better.?Alcoholics Anonymous is a US-based organisation that has been helping alcoholics and substance abusers around the world kick the habit and rehabilitate themselves through cathartic interactive sessions. As the name suggests, Alcoholics Anonymous is about addicts helping themselves, while Alateen is for children from families devastated by alcoholism. Alateen was formed on the 10th anniversary of Al-Anon (Northeast), which has been helping family members of alcoholics cope with the common crisis in their lives.?There is an alarming increase in the number of schoolchildren suffering because of alcoholic parents. Alateen will be able to help these children in many ways,? June P, co-founder of Al-Anon and Alateen in Calcutta, told The Telegraph.June, 75, said members of Al-Anon?s Northeast chapter had been successful in reforming hundreds of alcoholics. She was here last week to attend the anniversary celebrations of Al-Anon.?We treat alcoholism as a disease. Those who are suffering need care and attention. If you abuse an alcoholic, he or she will not change. Family members and children play the pivotal role in reforming alcoholics with love and caring,? she said.Jahnabi B, a city-based lawyer, said her decision to join Al-Anon led to ?a miracle?.?My husband was an alcoholic. I was frustrated with life and that also led to friction between us. But things changed as soon as I joined Al-Anon. When I started sharing my experiences with other Al-Anon members, I got the strength to bear with my husband?s habit and started giving him the necessary care,? she said.Jahnabi?s husband is now an ?occasional drinker?.Arup Bhattacharyya, founder of Alcoholics Anonymous in Guwahati, now manages a shelter for addicts, Resurrection Home, at Bonda. ?I was an alcoholic. But Alcoholics Anonymous and my wife helped me overcome this disease. The love and care of family members can do wonders. You must know how to behave with alcoholics,? he said."
"Staying afloat, away from the liquor - Alcoholics Anonymous draws up meet-and-act agenda to beat the bottle", By NISHA LAHIRI ,  20/02/2003 ,"“Hi. I’m Alex. I’m an alcoholic and I am a member of Alcoholics Anonymous (AA),” are his words of introduction. About seven years ago, he was “a complete drunk with no hope. The doctors had given up on me. I had severe tremors, about 45 per cent of my liver was damaged by cirrhosis and I weighed about 39 kg. Whatever I ate I threw up violently, along with raw blood, and I was drunk 24 hours a day.”That was when he turned to AA for support. For Alex (name changed on request), the biggest achievement is returning to a degree of normalcy. “Because, with alcoholism, the family and friends of the alcoholic, too, are affected. Guilt, shame and the tension of not knowing whether your husband or father is going to be dumped like a sack of potatoes by a rickshaw-wallah on your doorstep, or spend the night in jail. The stigma exists because most people don’t know that alcoholism is a disease of the obsessive-compulsive kind with a genetic predisposition, and is so recognised by the World Health Organisation and the Indian Medical Association, amongst others,” he adds.Working with doctors, psychiatrists, nursing homes, detoxification centres, the police, the Calcutta Municipal Corporation (CMC), the district magistrate and other district officers, AA is intent on spreading the word, “to just let people know we are there”, in the 20th year of it’s existence in Calcutta. “At AA, we are just a bunch of drunks helping each other to stop reaching for the bottle,” smiles Alex. “It’s impossible to do it alone.” At the moment, there are about 11 groups with around 500 members in the city, with an average of three meetings in one day, and anyone welcome to attend.The next project, for which the paperwork has been finalised, is to work with inmates of city jails, for which 10 volunteers, “recovering alcoholics” of AA, have been lined up. The aim is to change the mindset of society and help those who have been written off by everyone. More plans are on the drawing board to work with the CMC, and sensitisation of the police.It is to talk about these and other issues that the members of AA are gathering at the Seva Kendra on February 22 and 23 for the 4th National Service Conference. “Last year, the mayor had attended, and promised us his full support, claiming that a lot of CMC employees were suffering from this problem,” Alex says. “This year, there will be delegates from all over the country, particularly veterans from Mumbai, sharing their vast storehouse of knowledge.” There will be two sections a day, with a lecture and then a session for the 80-odd participants to share their experiences. “Alcoholism is a chronic, life-long problem. We just want to let people know there is help at hand,” Alex sums up."
Masked & anonymous, By Unknown authors make Chandrima S. Bhattacharya wonder about their influences on our lives ,  12/09/2007 ,"I was thinking the other day of the influence Anonymous has had on my life. It’s not that I noticed him before the third or fourth grade, when I think I came across the first poems written by him. At poetry contests, there would invariably be some offerings “by Anonymous”. But these were instances in which the man was credited for his works. There were so many of his creations that held me absolutely in thrall since very early. My childhood would have been impossible without him. The first rhyme (though, I believe, it’s not a canonical one) that I learnt was: “Miss Molly had a dolly/ Who was sick, sick, sick/ So she called for the doctor and/ Asked him to be quick, quick, quick.” This, to the immense pleasure of spectators all around me, I would perform with the aid of a plastic “doctor’s set”, to the accompaniment of “action”. I am sure this early act of mine goes a long way towards explaining the many strange things that I went on to do later in life, but I was actively encouraged into the nursery rhyme by my teachers and family. I am also quite sure that I am not alone in this. What would Bengali childhood be without the informing presence of English nursery rhymes, all written by the said Anonymous? How many of us have not had to also recite “Baa Baa Black Sheep, Have you any wool?” with a shake of the head and a thrust of the three fingers? How many of us have not felt bewildered by Humpty Dumpty’s fate? What had he done to deserve such a fate, breaking into such small pieces? Was he an instrument of Evil punished ruthlessly by the Unseen Hand? And Little Miss Muffet? Her trauma was ours. It was only later that we realised that the spider was really a metaphor of a virulent masculine sexuality breaking into the blameless world of a small virgin — and not just a spider. The stories of Cinderella, of The Beauty and the Beast and Little Red Riding Hood — all these had deep political meanings, Little Red Riding Hood being an elaboration of the Miss Muffet plot, which is why they all had such a powerful grip on young minds. Anonymous was quite scary. But when it came to Bengali, except the alphabet rhymes that started with -e Ojogor, most rhymes and poetry and fairy tales that I read in my childhood could have been traced to names, mostly to Tagore. From Sahaj Path to Birpurush, that most inspiring poem about how a child defends his mother on a most perilous journey — and I became him, of course — almost everything that I read and loved in Bengali as a child was written by Tagore. Even Thakumar Jhuli was attributed to an author with a long, difficult name — Dakshinaranjan Mitra Majumdar — and I would have a tough time trying to match his portrait in the book with the picture that I had of my grandmothers. And the ancient rhymes that we heard — Aye aye chandmama or Dol dol duluni — were not really children’s; they were meant for elders to sing to children. Hardly anything was anonymous. Maybe because the anonymous author of the Indian languages was busy with bigger things — like collaborating on the epics. He was really into the adult imagination. For though Ramayana and Mahabharata are attributed to the sages Valmiki and Ved Vyas respectively, there is a suspicion that many, many unnamed other people wrote it. As they wrote some of the other biggest works of literature in the world: The Bible and The Arabian Nights. The tradition continues in Bengali. There is a piece called Mahayana, which is still being written and available in different versions. Originating in a Calcutta campus, which, no one is quite sure about, Mahayana is a collection of Bengali shlokas, brilliant takes on the underground lives of the Ramayana and Mahabharata characters. But not one can be published as they are very subversive and somewhat unprintable. However, after Ram Gopal Varma Ki Aag, Ram Gopal Varma must be wishing he was Anonymous. But it’s difficult to hide such a long name — and a swollen head.         chandrima@abpmail.com"
Cops hot on trail of anonymous caller, By Joy Sengupta ,  13/09/2016 ,"Police are trying to trace the anonymous caller who gave a false alert to the police control room last week on a liquor party at the residence of Abhijit Bhattacharya, the chief postmaster at the Patna General Post Office (GPO).Sources at the police headquarters said on Monday that senior police officers had ordered the search. They added that the station house officer (SHO) of SK Puri police station had been directed to act immediately setting aside all other work and catch the man as fast as possible.Patna senior superintendent of police (SSP) Manu Maharaaj said: ""Whatever happened was wrong and I have already issued an order to all the SHOs to ensure that whenever any information comes to them from any source or the police control room which needs a raid, they should take into confidence the deputy superintendent of police (DSP) and superintendent of police (SP) in charge. Such mistakes shouldn't be repeated. And the person who gave the false information to the police will be arrested soon. The SHO acted on information which came to him from the control room but he needed to verify it first.""The raid at Bhattacharya's rented accommodation was carried late on September 5 evening.A team led by SK Puri police station SHO Sanjay Verma stormed the house and searched it for almost half-an-hour. However, no liquor was recovered and the police left red-faced.Chief postmaster Bhattacharya later said he felt humiliated at the raid.""The police have orders to nab the anonymous caller. The higher-ups in the department and the government are not happy at all with the action. The call has been tracked to Masaurhi on the outskirts of Patna and a team of SK Puri police station led by its SHO has been despatched this (Monday) afternoon. Instructions have been given to the team to take help from the Masaurhi police and track him down on a priority basis. We hope that he will be caught shortly after which the police will quiz him about his motives,"" said another police officer, preferring anonymity.The incident has exposed the vulnerability of people falling for false allegations. The department of posts had too severely criticised the incident. ""It is a serious issue, and we are going to take up the matter with the state,"" Adnan Ahmed, the director of postal services (headquarters) in Patna, had said.""We are also going to seek details on how and why the raids were initiated and whether somebody from our department had complained to the police. The matter has also been informed to the Union ministry of communications,"" Ahmed had added.When Ahmed was contacted on Monday, he said: ""I am not aware of the latest developments as I am on leave.""Sources told The Telegraph that the chief minister's secretariat was also concerned and orders had been issued for the same to the state police headquarters."
Anonymous calls threaten England, By The Telegraph Online ,  26/01/2003 ,"London, Jan. 25 (Reuters): England’s cricket team have received anonymous letters threatening violence if they travel to Zimbabwe for the World Cup.England and Wales Cricket Board (ECB) chairman David Morgan said the team received the threats at their hotel earlier this week in Sydney, the BBC’s website reported on Saturday. The letters warned of violent consequences, including riots and disturbances before and during the game, if England travelled to Zimbabwe. Nasser Hussain’s team play the home side in Harare on February 13.Morgan said he had been told of the letters by Hussain and that the enthusiasm of the 15-man squad to play in Zimbabwe was diminishing. World Cup executive director Ali Bacher said the letters should be treated with suspicion. “In South Africa over the years I have received many anonymous threatening letters,” Bacher said. “Most people don’t put a name to them. I’ve never gone to the police and I’m still around today.”England and Australia have resisted calls from their governments to boycott matches in Zimbabwe.However, following a review of security arrangements there, ICC chief executive Malcolm Speed said the board decided there was “no reason on grounds of safety and security to relocate the matches scheduled to be played in Zimbabwe”. "
Drop-in centres for alcoholics, By Staff Reporter ,  19/09/2004 ,"Sept. 19: Alcoholics in the city now have a new address to come for treatment. Navajiwan, a drug de-addiction centre, has set up a drop-in for addicts near Sahitya Sabha Bhawan. It will act as a recreational and counselling centre for the addicts.The centre will also look after intravenous drug users.Navajiwan had earlier planned to open a centre only for the injected drug users at Manipuri Basti in the city but later included counselling for alcoholics. Unofficial sources put the figure of active drug users in the city at 10,000 though very few have registered with the three de-addiction centres till June this year. In the last five years, there has been a 15 to 20 per cent increase in the number of drug users in the city.The centre will provide information on first-aid and referral, harm reduction or minimisation, needle sharing, preventive measures and HIV-AIDS. It will also impart training on yoga, art of living and process of socialisation.H.K. Bharadwaj, in charge of the centre, said drug users feel that they are being rejected by their family members and the society, which encourage them to inject more doses.The drop-in centre will have ?peer educators? who are recovering addicts under the guidance and supervision of Navajiwan."
Art Anonymous, By Swachchhasila Basu ,  20/05/2018 ,"Victoria Memorial's Albert Hall. The last day of April. A talk titled ""19th Century Swadeshi Art in Bengal: woodcuts, woodblocks and lithographs"". The discourse and the documentary screening preceding it are distillations from an exhibition underway at Victoria Memorial and curated by artist Ashit Paul. The show will travel to the National Museum, Delhi, soon.Paul had also put together another 19th century art show in Delhi last year, but that focused on rare oil, oleographs, litho paintings and prints of the pre-Bengal School.That day at Victoria Memorial, when the documentary started to play, it was the content that followed the colon in the title to his talk - woodcuts, woodblocks, etc. - that seemed to occupy screen space.A fortnight later at his residence in southwest Calcutta, Paul tells The Telegraph, ""My focus has been woodcuttings - illustrations, advertisements, and ads and illustrations of gods and goddesses in panjikas (almanacs) - from the mid-19th century to the early 20th century.""But we were more intrigued by the ""swadeshi"" bit. What did he mean by swadeshi art? Patriotic art?Not necessarily, says Paul, and launches into a bit of art history. ""Till the mid-19th century, the only school of art in Bengal was the Kalighat ' pat' art. Knowledge of the art form was passed down from one generation to another in artists' families. Other artists would imitate British themes and techniques. Wood and metal engraving were already being used by the British. In 1816, the first Bengali book with illustrations, Annanda Mangal, was published. It had two metal carvings and three woodcut illustrations, but we find only one artist attribution, Ramchand Roy. Here is a native author, a local story, a native publisher, a native illustrator, nothing British. So this art is 'swadeshi' in that sense, too.""According to Paul, woodcutting was not a traditional art form. He says, ""The technique was used in the sari industry, but its evolution as an art form was entirely need-based. Publishers felt the need to illustrate books. And woodcutters were trained for the task.""He talks about how the pat artists eventually graduated to making litho prints and filling in colours to meet evolving demands. ""It dawned on the woodcutters that they, too, dealt in outlines (which is what the litho prints were about). So, instead of limiting themselves to carving for book illustrations, they could carve on larger blocks of wood and reproduce copies for commercial gain. Thus came large display pictures - and they found place of pride in the homes of babus. These illustrations dealt primarily with social issues and satires, especially on the ' babu' culture. This transition was not conditioned or through training. So it was 'swadeshi' in that way, too.""Paul hands us a booklet published by Vic-toria Memorial Hall in collaboration with Akar Prakar, the Calcutta-based art gallery. It has images of prints, some coloured, mostly black-and-white. Some of the most eye-catching ones - with titles such as Lobster with Fish, Cat with Lobster - come sans artist names.We keep flipping the pages - advertisements, lithographic prints. The last category shows some fairly elaborate drawings. There is one that is apparently of Shiv, rays emanating from his third eye and a serpent tangled in his dreadlocks. Behind him there is an embracing couple and a kneeling woman. One can see the Himalayas in the background and a couple of coniferous trees and behind them a youth with a flowery bow. It is titled The Oriental Cupid in Flames and dated 1878. Yet again no artist credit, but it does say Calcutta Art Studio.Paul tells us that the Calcutta Art Studio was established in 1878 by Annadaprasad Bagchi and two others - all products of the Art School, which is now known as the Government College of Art and Craft. This was the first Indian studio in this part of the country. ""Bagchi's motto was that though I have learnt from the British, I shall work with Indian motifs and styles,"" says Paul.The studio provided the nouveau Art graduates the opportunity to print their works, make them easily available. But what of all those anonymous artists? Was their anonymity an accident or someone's design?Says Paul, ""As far as swadeshi art is concerned, I don't yet have an answer to that. Patuas never signed their scrolls or mentioned the place of production, they still don't. It's different with woodcutting, though. Blocks usually have names of carvers engraved but that doesn't necessarily mean they were also the designers of those pictures. They were, in fact, catering to the requirements of the authors or publishers.""And, then, there was rampant plagiarism. ""I have found a picture of Durga, along with the name of the engraver, in one edition of a panjika of a particular publisher. The same image appears in another panjika but with a different attribution,"" says Paul. Not all of it was the doing of plagiarists though; many a time it was about plates being stolen from a printing press and landing up with others.Paul talks about another possibility too. ""Say four or five panjikas were being printed at one particular press. The printer or the manager of the press would use the same image in two or more of them arbitrarily. I have also come across pictures that had appeared in some panjika or the other being used to illustrate Barna Parichay kind of children's books. What mattered more was the appeal of the picture, not who the maker was."""
Join up the jolly good fellows - Support group for alcoholics records membership spurt, By Staff Reporter ,  13/11/2003 ,"Eight-year-olds join, as do those well into their 80s. Around one-third of all members are women. Total numbers across the world are well over two million. And that is just the tip of the iceberg.These figures are a few of the basics of the Alcoholics Anonymous (AA) fellowship. According to the World Health Organisation, there are around 140 million alcoholics in the world. In India alone, in the past three years, 200 new groups have been formed, putting the number of chapters at 700.To further awareness about this disease, global chairman of the organisation’s general services board in New York, Elaine McDowell, and general manager Greg M. attended a seminar on Saturday, organised by the local chapter of AA, in association with the Indian Medical Association, at the Ramakrishna Mission Seva Pratishthan.“There is a rich fellowship in Calcutta,” says Greg (As an AA member, his identity is confidential, though non-alcoholic functionaries of the organisation need not be protected). The rise in numbers, he feels, is due to more people seeking help for their problem, rather than an increase in victims of alcoholism. There are an estimated 100,000 groups in 150 countries, speaking 70 languages, though most are in the United States and Canada, where the body was formed over 60 years ago.The 12-step programme for an AA member starts with the acknowledgement that one is “powerless” when it comes to alcohol and that one’s life has become unmanageable because of it. The “desire” to stop drinking is the only pre-condition to membership.Much of the organisation’s work has succeeded because of the support of medical and allied professionals. “If they are aware of the problems, they can really be of help,” says McDowell, a non-alcoholic who is AA’s first woman chairperson.At Saturday’s interactive session, one main concern surfaced: How does one convince an alcoholic to seek help? Being a supportive friend, access to proper medical counsel and linkages with an existing AA member were a few of the possible means discussed. In Calcutta, Al-Anon, an organisation for family and friends of alcoholics, and Alateen, children of alcoholics, also exist as support structures for those whose lives have been affected by the drinking problem of a loved one."
