Heading,Publisher,Date,Body
"The pricier the booze, the faster it sells as India’s wealth grows",Bloomberg,"Updated: Mar 13, 2019, 12:43 IST","NEW DELHI: One recent Saturday evening in Mumbai, men in bespoke jackets and women wearing summer dresses sampled artisanal gins, French brandy and Caribbean rum at an airy, modern bar built on the grounds of a colonial-era horse racing club. With a jazz bass thumping in the background, a small group of the curious gathered to hear a maroon-suited employee of French-distiller Pernod Ricard SA—flown in from the Scottish highlands—hold forth on the primacy of Scotch whisky.The luxury spirits festival, the first organised by a local importer, is the latest manifestation of India’s growing mania for the top shelf (despite longstanding official measures to curb drinking). Pernod reported 24 per cent growth in India last quarter, with its imported Scotch brands leading the way. Rival Diageo reported 12 per cent revenue growth, largely driven by such prestige brands as Johnnie Walker whisky. India’s growing thirst for high end liquor goes well beyond the Mumbai glitterati. Diageo says even tipplers of the local moonshine are skipping mid-tier foreign alcohol and jumping right into premium spirits.After years of muted growth, foreign distillers are seeing sales rebound as the industry recovers from 2017 ban on some liquor sales that has since eased and a currency ban in 2016 that aimed to crack down on the underground economy. Sale of Diageo’s “prestige brands” and premium labels rose 17 per cent in the first half of the 2019 fiscal year compared with a 7 per cent climb for fiscal 2017, according to the latest company data.It’s a sign of how quickly high-end booze has spread as an important marker of the good life in traditionally teetotaling India, and a key driver in the 25 per cent growth Euromonitor forecasts will take the country’s spirits market to Rs 2.92 lakh crore ($41 billion) by 2022.“There are a lot of people interested in exploring the higher end,” says Anthony Wills, who was at the spirits festival to promote his artisanal single malt Kilchoman, distilled from barley grown on the family farm in Scotland. They’ve been exporting to India since 2013. “This sort of event never would have happened five years ago.”Spirits have been a part of Indian culture since ancient times, notably in the form of an alcohol distilled from molasses, byproduct of the subcontinent’s abundant sugarcane, known locally as country liquor or 'desi daru'. After India freed itself from British rule in 1947, however, drinking became something of a taboo as that generation and those born right after followed the example of Independence hero Mahatma Gandhi, who abstained from alcohol himself and decried it as a social evil. Gujarat, where 'Bapu' was born, is a dry state to this day, along with two more. And in most other states alcohol is subject to taxation that can go as high as 200 per cent for local versions of foreign liquor and 150 per cent for imports. That’s partly why India has one of the world’s lowest per capita rates of alcohol consumption.In recent years the taboo has weakened as more Indians travel abroad. Even those who can’t afford such trips are increasingly exposed to Western mores via the internet, particularly Gen Xers and millenials. Where in the 1980s only the villain drank in Bollywood movies, today an Amazon Prime show about four women navigating modern urban life is called “Four More Shots Please!” That speaks to another important change: the increasing acceptance of women drinking, which is helping to give white spirits like vodka and gin a boost in a country where whisky has ruled.Meanwhile, more Indians have sufficient disposable income to splurge on a bottle of the good stuff. The number of households with annual earnings over $5,000 rose 73 per cent in the last five years to number 138 million, while the number with earnings over $10,000 rose 112 per cent to 36 million, according to a February report from Deloitte. In the same period, the sales growth of cachet imported brands surged 20 per cent, outpacing sales of Indian-made liquor by almost three to one, according to consultancy Technopak Advisors.At $10,000 a year, middle incomes are still considerably lower in India than in the West or even China. So distillers like Pernod and Diageo have broadened out the definition of what constitutes top shelf. Pernod’s top selling brand in India is Imperial Blue whisky, a blend of Indian grain spirits with some imported Scotch malts mixed in that carries a whiff of foreigness Indians are willing to pay a premium for.“The smaller towns are wanting very quickly to catch up with the bigger towns,” says Kartik Mohindra, chief marketing officer of Pernod Ricard India. “In the smaller towns, they will start at maybe an Imperial Blue level.”Diageo says people of modest means who typically drink country liquor may splash out for a lower level premium brand such as McDowell’s No. 1 to mark a special occasion. Once Indians start upgrading, Diageo’s data suggests they keep going as their incomes rise and palettes refine. The company says its “prestige and above” category grew 16 per cent last quarter and now accounts for about 66 per cent of its business in India. And when Diageo further divides that segment into products that are more and less premium, the growth picks up the more premium a product gets.“Each of the sub-segments are growing at a higher rate than the one below,” says Abanti Sankaranarayanan, the company’s India chief strategy and corporate relations officer. “Essentially, high value spirits are growing faster than the lower value ones.”For now products that generally qualify as top shelf in the West—single malt scotches, say, or Grey Goose vodka—are mostly the preserve of high earners in big cities like New Delhi or Mumbai. That means there are plenty of potential customers for Florence Castarede, who attended the Mumbai spirits festival to kick off exports of the Armagnac she produces at her family’s 187-year-old distillery in France.“Armagnac and Indian food will be very interesting because the food is very spicy, so you need a strong spirit,” she says, pouring samples into tiny plastic tumblers. “I’m sure it would be a big market because I know Indian people love spirits.”"
"5.7 crore Indians dependent on alcohol, need treatment: Govt survey",TNN,"Feb 19, 2019, 00:36 IST","NEW DELHI: A comprehensive government survey that covers all states and Union Territories has revealed serious drug and alcohol abuse with an estimated 5.7 crore persons requiring treatment for alcohol dependency, 72 lakh individuals for cannabis use, 60 lakh for opioids and 11 lakh for sedatives.  The numbers may well be higher, but the survey, which is based on a household survey of over 2 lakh households in 186 districts, presents a worrisome picture of drug and alcohol abuse that is taking a heavy toll on health and economic productivity of individuals. A respondent driven sampling survey of 70,293 people suffering from dependence on illicit drugs was also carried out.  The number of individuals affected by cannabis abuse points to a growing problem with the drug easily available in cities and even rural areas. Seen as a ""gateway drug"" that leads to harder drugs like cocaine and heroin, cannabis carries the risk of mood and personality disorders. For the first time, data on women users has also been collected. Data shows while alcohol use is higher among men at 27.3% as compared to women at 1.6%, it is reported among women in almost all states. Also, 6.4% of women users are dependent on alcohol. More than half of the male population of Chhattisgarh, Tripura and Punjab are alcohol users. In absolute numbers, UP has the highest at 4.2 crore users, followed by 1.4 crore in West Bengal and 1.2 crore in MP.  The survey found that of an estimated 16 crore alcohol consumers in the 10-75 years bracket, as many as 19% of them were dependent on alcohol. Besides alcohol and drug dependency, there are an estimated 4.6 lakh children and 18 lakh adults in need of help for dependence on inhalants and sedatives. Data collected between December 2017 to October 2018 also shows a severe lack of treatment facilities. Only one in 38 people with alcohol dependency reported getting any treatment while one in 180 reported getting in-patient treatment in a hospital. For drug users, the number was one out of 20. These findings are part of the ""Magnitude of Substance Abuse in India"" report prepared by the National Drug Dependence Treatment Centre of AIIMS for the the ministry of social justice and empowerment. Minister Thaawarchand Gahlot pointed out that the 2004 report on drug use was not as comprehensive hence a new survey was commissioned in 2016. He cited the new report to be the first country-wide government survey that captures state-wise data and variations on substance use. States with higher prevalence of cannabis (bhang, ganja and charas) use are UP, Punjab, Sikkim, Chhattisgarh and Delhi. In Sikkim and Punjab prevalence of cannabis use disorders is more than thrice of the national average. The number of people needing help in UP stands at 28 lakh followed by Punjab at 5.7 lakh and Odisha at 4.9 lakh. The new report draws upon similar surveys in the past to highlight that a substantial number of Indians - more than 5% - suffer from alcohol use disorders."
Mumbai: New Year Eve sermons to keep youth from 'errant ways' this night,TNN,"Updated: Dec 30, 2018, 19:16 IST","MUMBAI: New Year Eve is a night of indulgence for a few but one of reflection and prayer for many more. Temples, mosques and churches are planning special engagements on Monday midnight to keep young boys from getting into trouble with liquor and motorcycle rides this evening.In fact Alcoholics Anonymous holds a meet-up at midnight December 31 because that is when the temptation to drink is highest.The prominent Millat Nagar Mosque in Andheri has organised a discourse by Maulana Usama to keep young Muslim boys from riding motorbikes and whiling away their time in idle company.Arshad Yusuf, who is affiliated to the mosque, said, ""The sermon begins at 9.00pm and ends around midnight. Around 1,200 boys attend. We have been organising such programmes on December 31 since seven or eight years. We are members of the Tablighi Jamaat. We feel very concerned when we keep reading articles about road accidents caused by rash driving or drunk driving on New Year's Eve. Some youngsters tend to visit wrong places in the company of friends. This sermon is intended not only to keep them indoors this night but also to guide them towards a better life that benefits them as well as the community.""In a sure sign that the effort is fruitful, the boys first bring their friends to the sermon. Then errant youth begin to show up for Fajr (morning) namaz which they would earlier forgo.Many houses of worship keep their doors open. Siddhivinayak temple receives a sizeable throng of worshippers through the night.ISKCON temple is located in the party zone of Juhu. ""Here, party hoppers in tipsy mode turn up for the early morning mangla aarti January 1. They sing loudly and clap their hands, hoping to start the year on a pious note before heading home. It is quite a sight to see,"" said spokesperson Parijata Devi. ISKCON will organise a kirtan till midnight.All churches will host thanksgiving for the year that is rolling by and ask for blessings for 2019, said Fr Ernest Fernandes of St John the Baptist Church, Thane."
A chance to revisit western plays from the 1950s,TNN,"Updated: Dec 30, 2018, 19:16 IST",
"Maharashtra 3rd in alcohol use among kids, finds study",TNN,"Feb 24, 2019, 04:14 IST","MUMBAI: Maharashtra was third in terms of children consuming alcohol, according to a recent survey by National Drug Dependence Treatment Centre, AIIMS, New Delhi. The survey found that Punjab topped, with 1.2 lakh children aged 10-17 being alcohol consumers. The study, 'Magnitude of substance use in India', pointed the most alcohol consumers in the country among children, three times more than the national average. The national average is 40,000. West Bengal (3.9%) and Maharashtra (3.8%) stand second and third.The authors attribute this to gaps in treatment being provided. ""In this study, we found that one in 37 people affected by alcohol use disorders and one in 20 affected by drug use disorders have not received treatment. Policies of the government need to change and should not be based on strict control of supply alone,"" said Atul Ambekar, lead author of the survey.Pointing out gaps in treatment, Ambekar said, ""We have seen that strict regulation in supply convinced users to switch over to some other substance. This situation can be avoided by treating users as patients and not as criminals. They need medical attention.""The study is silent on how many consumers will be converted into dependants. ""It takes over a decade for users to get addicted to any substance. But the estimated number of users are indicators and we need to adapt evidence-based strategies instead of spreading awareness, which has proved to be a weak strategy,"" said Ambekar.The number of medical-related issues are high due to the consumption too."
Alcohol kills 2.6L Indians every year: WHO report,TNN,"Updated: Sep 23, 2018, 05:28 IST","MUMBAI: Alcohol kills 2.6 lakh Indians every year either by causing liver cirrhosis, cancer or leading to road accidents caused by drunk driving.These statistics from the World Health Organization’s (WHO) global status report released on Friday underline the link between alcohol and health problems, prompting health experts to demand a national alcohol control policy on the lines of the tobacco policy. “As health is a state subject, various states follow different rules,” said oral cancer surgeon from Tata Memorial Hospital, Dr Pankaj Chaturvedi. If the legal age limit for alcohol is 25 years in Maharashtra, it is 18 for certain drinks in Goa. “It is time for a Central law to standardize norms for alcohol use across the country,” he said.Alcohol, said the WHO report, kills around 6,000 people every day across the world. While 28% of these deaths are due to injuries, such as those from traffic crashes, selfharm and violence, 21% are due to digestive disorders, 19% due to cardiovascular diseases, and the remainder due to infectious diseases, cancers, mental disorders and other health conditions.Almost 1 lakh deaths that occur on India’s roads every year are indirectly related to alcohol abuse. Another 30,000 deaths among cancer patients every year can also be traced to use of alcohol, which was long ago declared as Group 1 carcinogen by WHO. Liver cirrhosis is, however, the biggest health problem posed by alcohol use, with 1.4 lakh deaths every year.“Heavy episodic (binge) drinking’ among teenagers is one of the gravest challenges highlighted in the report,” said Dr Monika Arora of Public Health Foundation of India."
Alcoholic Anonymous Surat to celebrate 25 years of inception,tnn,"Aug 9, 2018, 04:00 IST","Surat: For 50 -year-old Suresh Rathod, Alcoholics Anonymous (AA), is a saviour. The organisation has helped him get rid of his alcohol addiction over the last decade. He regained his mental stability that he had lost due to his addiction to alcohol. AA, Surat, that celebrates 25 years of inception on August 11, has helped cure 1,000 individuals but has helped at least another 25,000 to stay away from addiction.Umesh Niak, one of the coordinators of the AA centre said, “People come with hope here. They share their problems, learn from the other people’s experience, but ultimately it is them who have to make up their minds strong to give up the addiction. Many, refuse to believe that they are addicted at first, but once they realise most of them are able to give it up with support of family and friends.” In Surat, AA runs its centres at Jeevan Bharti school in Nanpura, Nutan Vidyalaya and Sanskar Bharti School in Adajan, Sarvodaya High school in Bhatar, At Bhimpore town in Amroli and at Udhna. tnn"
"Ahead of polls, Rs 2.5 crore alcohol seized in one week",TNN,"Apr 1, 2019, 08:42 IST","PANAJI: While election campaigning is slowly building up to its crescendo, Goa Police has already reached a high. A Rs 2.5 crore alcohol seizure in just one week has left authorities astounded.Police have expressed surprise at the number of bottles being stored in the state without valid licences during election time although liquor is easily available and the prices are relatively low compared to other states.Every day last week, a raid has been conducted by the police to curb misuse of liquor for elections. Eight raids were conducted by the police, while the excise department carried out one. They have seized huge consignments of alcohol stored illegally in various places across the state.The district investigation unit of North Goa district police seized the highest amount of liquor bottles worth Rs 1.5 crore from three different premises in Dhargal, Pernem. The second highest consignment was seized by Mapusa police, worth Rs 71 lakh. The crime branch hauled in Rs 10 lakh worth of liquor at Mapusa, making it the third largest seizure.Using alcohol to woo the electorate is not new to Indian politics. A senior police officer said that based on directions of the Election Commission of India, they have become active in cracking down on the illegal use of alcohol during elections.The officer said they suspect the liquor which was seized could have been smuggled to neighbouring states since the excise rates are much higher outside Goa.He added said that during the previous inter-state coordination meeting held to discuss how to control liquor smuggling from Goa to Maharashtra and Karnataka, police officers raised apprehensions that bottles may be smuggled from here.“Taking serious note of the meeting, we have increased surveillance at borders and activated our sources so that as and when any illegal liquor storage is found, police will move into action,” the officer said. Once the bottles are seized, they are handed over to the excise department.Last week, to ensure free and fair elections, the government curtailed the closure time of all liquor shops, bars, pubs, food joints and shacks. They have been prohibited from selling alcohol after 11pm till April 20. These establishments will also be prohibited from selling or serving liquor between 6pm on April 21 and 12am on April 23, the day Goa goes to polls."
FSSAI provides relief to craft breweries on yeast content,TNN,"Updated: Mar 30, 2019, 16:17 IST","BENGALURU: The Food Safety & Standards Authority of India (FSSAI) said it will allow craft breweries to continue making beer with higher yeast content. This will come as a huge relief to micro breweries across the country.The regulator had said that regular beer or lager should be free of yeast while draught beer should have yeast content of at most 40 CFU (colony-forming units).The notification had not put craft beer into a separate category, which had put the breweries in a tizzy as many craft beers have yeast content as high as 3 million CFU. ""The Food Safety & Standards (Alcoholic Beverages) Regulations, 2018 will be implemented in effect from 1st April 2019, except the parameter for yeast in various categories of beer,"" the regulator said in a notification on Friday.The Craft Brewers Association of India (CBAI) had made a representation earlier this month that it was difficult to operate under the limits ordered by the regulator and wanted a clarification whether yeast was being classified as a contaminant or a raw material, one that is a basic ingredient in beer.As part of the notification, the FSSAI also clarified that it will provide drinks makers another six months for use of old unused labels and printed cans. Following a directive last year, all liquor bottles were supposed to carry cautionary messages of ""Drinking is injurious to health"" and ""Don't Drink and Drive"" on their labels from April 1. ""Alcoholic beverages manufactured prior to 1st April 2019 can be sold in the market up to 31st March 2020,"" FSSAI said."
Congress to move Election Commission over BJP nominee’s alcohol remark,TNN,"Updated: Mar 31, 2019, 12:36 IST","JAIPUR: The Congress will lodge a complaint with the Election Commission (EC) against BJP’s Jhunjhunu candidate Narendra Khichar for his controversial remarks where he was heard telling the party workers to have an “extra peg of alcohol’’ after ensuring five more votes for him each day.A video, which went viral, Khichar was seen motivating BJP workers by saying “If any person helps in increasing vote, his soul will be happy. If you add five more votes each day, you may feel hungry in the evening ... have one extra peg of alcohol.”He also said those who don't vote for the BJP, don't belong to this country. “Those who don’t for me and vote for others, should hang their heads in shame,” he added. Khichar, who is currently an MLA from Mandwa, has replaced Santosh Ahlawat, the only woman parliamentarian from Rajasthan in the last Lok Sabha. She had expressed disappointment after being denied party ticket. District election officer Jhunjhunu said Ravi Jain said, “We have not received any such complaint. I will look into it. I have neither received any video, nor has anyone lodged a complaint.”Meanwhile, Congress spokesperson Sushil Sharma said, “We will lodge a complaint with the Election commission after looking into the video. We will demand action against him.”Ajmer district election department had recently issued an EC notice to BJP candidate and former MLA Bhagirath Choudhary for making “political remarks” and “addressing the public” at a religious place in Pushkar without seeking permission. Union minister Rajyavardhan Singh Rathore, Jaipur MP and BJP leader Ramcharan Bohra and Congress MLA Mahesh Joshi were also issued notices by district election department for campaigning on social media (Twitter and Facebook) between 10 pm and 6 am, which is prohibited. Earlier, Rathore was issued notice by EC for putting up wall paintings and posters with the pictures of Prime Minister and himself on those, in violation of model code of conduct (MCC)."
